version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,mechanism,x_eps,edge_mechanism,e_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,orphic,inner_epoch,device,seed,checkpoint_dir,repeats,output_dir,log,log_mode,project_name,retrain,cmd
0,19.940915805022154,de388da2-94d6-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,2.0,mrr,inf,gat,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,False,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
1,18.31610044313146,de388da2-94d6-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,2.0,mrr,inf,gat,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,False,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
2,18.46381093057607,de388da2-94d6-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,2.0,mrr,inf,gat,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,False,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
3,20.53175775480059,de388da2-94d6-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,2.0,mrr,inf,gat,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,False,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
4,18.906942392909897,de388da2-94d6-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,2.0,mrr,inf,gat,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,False,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
