version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,mechanism,x_eps,edge_mechanism,e_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,orphic,inner_epoch,device,seed,checkpoint_dir,repeats,output_dir,log,log_mode,project_name,retrain,cmd
0,78.28655834564255,36027f46-94d8-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,inf,mrr,8.0,sage,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,True,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
1,78.72968980797637,36027f46-94d8-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,inf,mrr,8.0,sage,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,True,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
2,76.07090103397341,36027f46-94d8-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,inf,mrr,8.0,sage,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,True,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
3,78.28655834564255,36027f46-94d8-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,inf,mrr,8.0,sage,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,True,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
4,79.3205317577548,36027f46-94d8-11ee-8359-005056c00001,cora,./datasets,"(0, 1)",0.25,0.25,mbm,inf,mrr,8.0,sage,16,0.5,4,2,True,adam,200,0.01,0,0,False,2,cpu,123,./ckpt,5,./output,False,individual,Solitude,True,D:/研究生课程学习/计算机前沿/论文复现/TIFS2022-Solitude/main.py
